Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FGP,3PP,FTP,WS,WS/48
2004,NBA,Kevin Garnett,(V),27,MIN,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272
2003,NBA,Tim Duncan,(V),26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248
2002,NBA,Tim Duncan,(V),25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,.257
2001,NBA,Allen Iverson,(V),25,PHI,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190
2000,NBA,Shaquille O'Neal,(V),27,LAL,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283
1999,NBA,Karl Malone,(V),35,UTA,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252
1998,NBA,Michael Jordan,(V),34,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238
1997,NBA,Karl Malone,(V),33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268
1996,NBA,Michael Jordan,(V),32,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317
1995,NBA,David Robinson,(V),29,SAS,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273
1994,NBA,Hakeem Olajuwon,(V),31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210
1993,NBA,Charles Barkley,(V),29,PHO,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242
1992,NBA,Michael Jordan,(V),28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274
1991,NBA,Michael Jordan,(V),27,CHI,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321
1990,NBA,Magic Johnson,(V),30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270
1989,NBA,Magic Johnson,(V),29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267
1988,NBA,Michael Jordan,(V),24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308
1987,NBA,Magic Johnson,(V),27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263
1986,NBA,Larry Bird,(V),29,BOS,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244
1985,NBA,Larry Bird,(V),28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238
1984,NBA,Larry Bird,(V),27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215
1983,NBA,Moses Malone,(V),27,PHI,78,37.5,24.5,15.3,1.3,1.1,2.0,.501,.000,.761,15.1,.248
1982,NBA,Moses Malone,(V),26,HOU,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,.218
1981,NBA,Julius Erving,(V),30,PHI,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,.231
1980,NBA,Kareem AbdJabbar,(V),32,LAL,82,38.3,24.8,10.8,4.5,1.0,3.4,.604,.000,.765,14.8,.227
1979,NBA,Moses Malone,(V),23,HOU,82,41.3,24.8,17.6,1.8,1.0,1.5,.540,,.739,14.1,.200
1978,NBA,Bill Walton,(V),25,POR,58,33.3,18.9,13.2,5.0,1.0,2.5,.522,,.720,8.4,.209
1977,NBA,Kareem AbdJabbar,(V),29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,.579,,.701,17.8,.283
1976,NBA,Kareem AbdJabbar,(V),28,LAL,82,41.2,27.7,16.9,5.0,1.5,4.1,.529,,.703,17.0,.242
1975,NBA,Bob McAdoo,(V),23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,.512,,.805,17.8,.242
1974,NBA,Kareem AbdJabbar,(V),26,MIL,81,43.8,27.0,14.5,4.8,1.4,3.5,.539,,.702,18.4,.250
1973,NBA,Dave Cowens,(V),24,BOS,82,41.8,20.5,16.2,4.1,,,.452,,.779,12.0,.168
1972,NBA,Kareem AbdJabbar,(V),24,MIL,81,44.2,34.8,16.6,4.6,,,.574,,.689,25.4,.340
1971,NBA,Kareem AbdJabbar,(V),23,MIL,82,40.1,31.7,16.0,3.3,,,.577,,.690,22.3,.326
1970,NBA,Willis Reed,(V),27,NYK,81,38.1,21.7,13.9,2.0,,,.507,,.756,14.6,.227
1969,NBA,Wes Unseld,(V),22,BAL,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175
1968,NBA,Wilt Chamberlain,(V),31,PHI,82,46.8,24.3,23.8,8.6,,,.595,,.380,20.4,.255
1967,NBA,Wilt Chamberlain,(V),30,PHI,81,45.5,24.1,24.2,7.8,,,.683,,.441,21.9,.285
1966,NBA,Wilt Chamberlain,(V),29,PHI,79,47.3,33.5,24.6,5.2,,,.540,,.513,21.4,.275
1965,NBA,Bill Russell,(V),30,BOS,78,44.4,14.1,24.1,5.3,,,.438,,.573,16.9,.234
1964,NBA,Oscar Robertson,(V),25,CIN,79,45.1,31.4,9.9,11.0,,,.483,,.853,20.6,.278
1963,NBA,Bill Russell,(V),28,BOS,78,44.9,16.8,23.6,4.5,,,.432,,.555,13.5,.185
1962,NBA,Bill Russell,(V),27,BOS,76,45.2,18.9,23.6,4.5,,,.457,,.595,15.5,.217
1961,NBA,Bill Russell,(V),26,BOS,78,44.3,16.9,23.9,3.4,,,.426,,.550,13.0,.181
1960,NBA,Wilt Chamberlain,(V),23,PHW,72,46.4,37.6,27.0,2.3,,,.461,,.582,17.0,.245
1959,NBA,Bob Pettit,(V),26,STL,72,39.9,29.2,16.4,3.1,,,.438,,.759,14.8,.246
1958,NBA,Bill Russell,(V),23,BOS,69,38.3,16.6,22.7,2.9,,,.442,,.519,11.3,.206
1957,NBA,Bob Cousy,(V),28,BOS,64,36.9,20.6,4.8,7.5,,,.378,,.821,8.8,.178
1956,NBA,Bob Pettit,(V),23,STL,72,38.8,25.7,16.2,2.6,,,.429,,.736,13.8,.236
